NAME,DOI,PRIMARY_LOCATION
Traffic Optimization Through Waiting Prediction and Evolutive Algorithms,10.9781/ijimai.2023.12.001,https://doi.org/10.9781/ijimai.2023.12.001
Automatic Topic Label Generation using Conversational Models,None,https://doi.org/10.1145/3587259.3627574
Report on Data Homogenisation for High-value Datasets,10.2830/446704,https://www.int-res.com/articles/cr2002/19/c019p193.pdf
Interoperability of heterogeneous Systems of Systems: from requirements to a reference architecture,10.1007/s11227-023-05774-3,https://doi.org/10.1142/9789812798039_0001
Is Automated Consent in Solid GDPR-Compliant? An Approach for Obtaining Valid Consent with the Solid Protocol,10.3390/info14120631,https://doi.org/10.20944/preprints202307.1344.v2
The role of Semantic Web Technologies in Legal Terminology,None,https://ceur-ws.org/Vol-1481/paper27.pdf
A Review of Bias and Fairness in Artificial Intelligence,10.9781/ijimai.2023.11.001,https://doi.org/10.1016/j.artint.2018.07.007
Softalias-KG: Reconciling Software Mentions in Scientific Literature.,None,None
SALTBot: Linking Software and Articles in Wikidata.,None,None
"The Semantic Web ? ISWC 2023. 22nd International Semantic Web Conference, Athens, Greece, November 6?10, 2023, Proceedings, Part",None,None
Uncovering hidden therapeutic indications through drug repurposing with graph neural networks and heterogeneous data,10.1016/j.artmed.2023.102687,https://doi.org/10.1016/j.artmed.2023.102687
"A Scoping Review on the Progress, Applicability, and Future of Explainable Artificial Intelligence in Medicine",10.3390/app131910778,https://doi.org/10.20944/preprints202309.0581.v1
Encoding of Media Value Chain Processes Through Blockchains and MPEG-21 Smart Contracts for Media,10.1109/MMUL.2023.3303393,https://doi.org/10.1109/mmul.2023.3303393
Towards Assessing FAIR Research Software Best Practices in an Organization Using RDF-star.,None,https://doi.org/10.1016/s0160-791x(03)00021-6
EA-Ontology: Ethical Assessment Ontology,None,https://doi.org/10.1086/448612
Automatic thematic classification of documents based on vocabularies and use frequencies. The case of scientific dissemination articles,10.3989/redc.2023.3.1996,https://www.jmir.org/2005/1/e9/PDF
Experiential Observations: An Ontology Pattern-Based Study on Capturing the Potential Content within Evidences of Experiences,10.1145/3586078,https://dl.acm.org/doi/pdf/10.1145/3586078
Automatic Easy-to-Read Translation of Morphological Structures in Spanish Texts,10.26342/2023-71-15,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C4A2C08A0900E306078B9819D7ABF428/S0272263102002024a.pdf/div-class-title-frequency-effects-in-language-processing-div.pdf
Mind the gap: The AURORAL ecosystem for the digital transformation of smart communities and rural areas,10.1016/j.techsoc.2023.102304,https://doi.org/10.1016/j.techsoc.2023.102304
“Who Should I Trust with My Data?” Ethical and Legal Challenges for Innovation in New Decentralized Data Management Technologies,10.3390/info14070351,https://www.mdpi.com/2078-2489/14/7/351/pdf?version=1687339409
FAIR Research Object Assessment: A landscape analysis.,None,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2664.2009.01621.x
MuHeQA: Zero-shot Question Answering over Multiple and Heterogeneous Knowledge Bases,None,https://content.iospress.com:443/download/semantic-web/sw233379?id=semantic-web%2Fsw233379
Multi-perspective Approach for Curating and Exploring the History of Climate Change in Latin America within Digital Newspapers,10.2298/CSIS220110008V,http://www.doiserbia.nb.rs/ft.aspx?id=1820-02142300008V
Multi-Agent Systems on Virtual Games: A Systematic Mapping Study,10.1109/TG.2022.3214154,https://doi.org/10.1109/tciaig.2012.2186810
A framework for the broad dissemination of hydrological models for non-expert users,10.1016/j.envsoft.2023.105695,https://doi.org/10.1016/j.envsoft.2023.105695
Porting the One Size Fits All Model for Terminology into a Linked Data Compatible Format,None,https://doi.org/10.1109/mcom.2012.6146481
Ya2ro: A tool for creating Research Objects from minimum metadata,None,None
FAIR Research Object Assessment: A landscape analysis.,None,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2664.2009.01621.x
Satellite Earth Observation for Essential Climate Variables Supporting Sustainable Development Goals: A Review on Applications,10.3390/rs15112716,https://www.mdpi.com/2072-4292/15/11/2716/pdf?version=1684894645
TINTO: Converting Tidy Data into image for classification with 2-Dimensional Convolutional Neural Networks,10.1016/j.softx.2023.101391,http://www.softxjournal.com/article/S2352711023000870/pdf
Gender imbalance in doctoral education: an analysis of the Spanish university system (1977–2021),10.1007/s11192-023-04648-y,https://link.springer.com/content/pdf/10.1007/s11192-023-04648-y.pdf
Widaug. Data augmentation for named entity recognition using Wikidata,10.26342/2023-70-12,None
Combining heterogeneous data sources for spatio-temporal mobility demand forecasting,10.1016/j.inffus.2022.09.028,https://doi.org/10.1016/j.inffus.2022.09.028
A novel deep learning approach using blurring image techniques for Bluetooth-based indoor localisation,10.1016/j.inffus.2022.10.011,https://doi.org/10.1016/j.inffus.2022.10.011
"A scalable, secure, and semantically interoperable client for cloud-enabled Demand Response",10.1016/j.future.2022.11.004,https://doi.org/10.1016/j.future.2022.11.004
Modelling of the Internet Computer Protocol Architecture: The Next Generation Blockchain,10.1007/978-3-031-21229-1_1,https://doi.org/10.1007/978-3-031-21229-1_1
On the Decentralization of Health Systems for Data Availability: A DLT-based Architecture,10.1109/CCNC51644.2023.10059701,https://doi.org/10.1109/ccnc51644.2023.10059701
Trusting Decentralised Knowledge Graphs and Web Data at the Web Conference,10.1145/3543873.3589756,https://doi.org/10.1145/3543873.3589756
Accountable Clouds through Blockchain,10.1109/ACCESS.2023.3276240,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08808923.pdf
Applying the LOT Methodology to a Public Bus Transport Ontology aligned with Transmodel: Challenges and Results,10.3233/SW-210451,https://content.iospress.com:443/download/semantic-web/sw210451?id=semantic-web%2Fsw210451
