"title","doi","primary_location"
"Traffic Optimization Through Waiting Prediction and Evolutive Algorithms","10.9781/ijimai.2023.12.001","https://doi.org/10.9781/ijimai.2023.12.001"
"Automatic Topic Label Generation using Conversational Models","10.1145/3587259.3627574",""
"Report on Data Homogenisation for High-value Datasets","10.2830/446704",""
"Is Automated Consent in Solid GDPR-Compliant? An Approach for Obtaining Valid Consent with the Solid Protocol","10.3390/info14120631","https://www.mdpi.com/2078-2489/14/12/631/pdf?version=1700836284"
"A Review of Bias and Fairness in Artificial Intelligence","10.9781/ijimai.2023.11.001","https://doi.org/10.9781/ijimai.2023.11.001"
"Softalias-KG: Reconciling Software Mentions in Scientific Literature.","",""
"SALTBot: Linking Software and Articles in Wikidata.","",""
"The Semantic Web ? ISWC 2023. 22nd International Semantic Web Conference, Athens, Greece, November 6?10, 2023, Proceedings, Part","",""
"Uncovering hidden therapeutic indications through drug repurposing with graph neural networks and heterogeneous data","10.1016/j.artmed.2023.102687",""
"A Scoping Review on the Progress, Applicability, and Future of Explainable Artificial Intelligence in Medicine","10.3390/app131910778","https://www.mdpi.com/2076-3417/13/19/10778/pdf?version=1695880594"
"Encoding of Media Value Chain Processes Through Blockchains and MPEG-21 Smart Contracts for Media","10.1109/MMUL.2023.3303393",""
"Towards Assessing FAIR Research Software Best Practices in an Organization Using RDF-star.","",""
"EA-Ontology: Ethical Assessment Ontology","",""
"Automatic thematic classification of documents based on vocabularies and use frequencies. The case of scientific dissemination articles","10.3989/redc.2023.3.1996","https://redc.revistas.csic.es/index.php/redc/article/download/1517/2292"
"Experiential Observations: An Ontology Pattern-Based Study on Capturing the Potential Content within Evidences of Experiences","10.1145/3586078",""
"Automatic Easy-to-Read Translation of Morphological Structures in Spanish Texts","10.26342/2023-71-15",""
"Mind the gap: The AURORAL ecosystem for the digital transformation of smart communities and rural areas","10.1016/j.techsoc.2023.102304",""
"“Who Should I Trust with My Data?” Ethical and Legal Challenges for Innovation in New Decentralized Data Management Technologies","10.3390/info14070351","https://www.mdpi.com/2078-2489/14/7/351/pdf?version=1687339409"
"FAIR Research Object Assessment: A landscape analysis.","10.4126/FRL01-006444989",""
"MuHeQA: Zero-shot Question Answering over Multiple and Heterogeneous Knowledge Bases","10.3233/sw-233379",""
"Multi-perspective Approach for Curating and Exploring the History of Climate Change in Latin America within Digital Newspapers","10.2298/CSIS220110008V",""
"Multi-Agent Systems on Virtual Games: A Systematic Mapping Study","10.1109/TG.2022.3214154",""
"A framework for the broad dissemination of hydrological models for non-expert users","10.1016/j.envsoft.2023.105695",""
"Porting the One Size Fits All Model for Terminology into a Linked Data Compatible Format","",""
"Ya2ro: A tool for creating Research Objects from minimum metadata","",""
"Satellite Earth Observation for Essential Climate Variables Supporting Sustainable Development Goals: A Review on Applications","10.3390/rs15112716","https://www.mdpi.com/2072-4292/15/11/2716/pdf?version=1684894645"
"TINTO: Converting Tidy Data into image for classification with 2-Dimensional Convolutional Neural Networks","10.1016/j.softx.2023.101391",""
