URL,DOI
https://portalcientifico.upm.es/es/ipublic/item/10175276,10.9781/ijimai.2023.12.001
https://portalcientifico.upm.es/es/ipublic/item/10187417,
https://portalcientifico.upm.es/es/ipublic/item/10187482,10.2830/446704
https://portalcientifico.upm.es/es/ipublic/item/10118307,10.1007/s11227-023-05774-3
https://portalcientifico.upm.es/es/ipublic/item/10175280,10.3390/info14120631
https://portalcientifico.upm.es/es/ipublic/item/9836632,
https://portalcientifico.upm.es/es/ipublic/item/10175317,10.9781/ijimai.2023.11.001
https://portalcientifico.upm.es/es/ipublic/item/10192322,
https://portalcientifico.upm.es/es/ipublic/item/10192319,
https://portalcientifico.upm.es/es/ipublic/item/10182508,
https://portalcientifico.upm.es/es/ipublic/item/10108603,10.1016/j.artmed.2023.102687
https://portalcientifico.upm.es/es/ipublic/item/10106022,10.3390/app131910778
https://portalcientifico.upm.es/es/ipublic/item/10111090,10.1109/MMUL.2023.3303393
https://portalcientifico.upm.es/es/ipublic/item/10192321,
https://portalcientifico.upm.es/es/ipublic/item/10098759,
https://portalcientifico.upm.es/es/ipublic/item/10091044,10.3989/redc.2023.3.1996
https://portalcientifico.upm.es/es/ipublic/item/10115063,10.1145/3586078
https://portalcientifico.upm.es/es/ipublic/item/10108585,10.26342/2023-71-15
https://portalcientifico.upm.es/es/ipublic/item/10090620,10.1016/j.techsoc.2023.102304
https://portalcientifico.upm.es/es/ipublic/item/10090198,10.1007/s11042-023-15959-w
https://portalcientifico.upm.es/es/ipublic/item/10091654,10.3390/info14070351
https://portalcientifico.upm.es/es/ipublic/item/10151519,
https://portalcientifico.upm.es/es/ipublic/item/10096624,
https://portalcientifico.upm.es/es/ipublic/item/10091039,10.2298/CSIS220110008V
https://portalcientifico.upm.es/es/ipublic/item/9968833,10.1109/TG.2022.3214154
https://portalcientifico.upm.es/es/ipublic/item/10037968,10.1016/j.envsoft.2023.105695
https://portalcientifico.upm.es/es/ipublic/item/10097130,
https://portalcientifico.upm.es/es/ipublic/item/10192324,
https://portalcientifico.upm.es/es/ipublic/item/10192325,
https://portalcientifico.upm.es/es/ipublic/item/10084306,10.3390/rs15112716
https://portalcientifico.upm.es/es/ipublic/item/10079461,10.1016/j.softx.2023.101391
https://portalcientifico.upm.es/es/ipublic/item/10018424,10.1007/s11192-023-04648-y
https://portalcientifico.upm.es/es/ipublic/item/10041164,10.26342/2023-70-12
https://portalcientifico.upm.es/es/ipublic/item/9973746,10.1016/j.inffus.2022.09.028
https://portalcientifico.upm.es/es/ipublic/item/9973831,10.1016/j.inffus.2022.10.011
https://portalcientifico.upm.es/es/ipublic/item/9979875,10.1016/j.future.2022.11.004
https://portalcientifico.upm.es/es/ipublic/item/10023041,10.1007/978-3-031-21229-1_1
https://portalcientifico.upm.es/es/ipublic/item/10036096,10.1109/CCNC51644.2023.10059701
https://portalcientifico.upm.es/es/ipublic/item/10079486,10.1145/3543873.3589756
https://portalcientifico.upm.es/es/ipublic/item/10081261,10.1109/ACCESS.2023.3276240
https://portalcientifico.upm.es/es/ipublic/item/10084272,10.3233/SW-210451
https://portalcientifico.upm.es/es/ipublic/item/10084493,10.3233/SW-223278
https://portalcientifico.upm.es/es/ipublic/item/10090159,10.1007/978-3-031-33455-9_29
https://portalcientifico.upm.es/es/ipublic/item/10090845,10.5334/cstp.538
https://portalcientifico.upm.es/es/ipublic/item/10093528,10.1007/978-3-031-38079-2_9
